external_id,name,prefecture_slug,prefecture_name,city,address,lat,lng
sample-niigata-001,新潟県サンプルホール駅前店,niigata,新潟県,中央区,新潟県中央区1-1-1,,
sample-niigata-002,新潟県サンプルホール南口店,niigata,新潟県,南区,新潟県南区1-1-1,,
sample-niigata-003,新潟県グランドパーラー本店,niigata,新潟県,北区,新潟県北区1-1-1,,
sample-toyama-001,富山県サンプルホール駅前店,toyama,富山県,中央区,富山県中央区1-1-1,,
sample-toyama-002,富山県サンプルホール南口店,toyama,富山県,南区,富山県南区1-1-1,,
sample-toyama-003,富山県グランドパーラー本店,toyama,富山県,北区,富山県北区1-1-1,,
sample-ishikawa-001,石川県サンプルホール駅前店,ishikawa,石川県,中央区,石川県中央区1-1-1,,
sample-ishikawa-002,石川県サンプルホール南口店,ishikawa,石川県,南区,石川県南区1-1-1,,
sample-ishikawa-003,石川県グランドパーラー本店,ishikawa,石川県,北区,石川県北区1-1-1,,
sample-fukui-001,福井県サンプルホール駅前店,fukui,福井県,中央区,福井県中央区1-1-1,,
sample-fukui-002,福井県サンプルホール南口店,fukui,福井県,南区,福井県南区1-1-1,,
sample-fukui-003,福井県グランドパーラー本店,fukui,福井県,北区,福井県北区1-1-1,,
sample-yamanashi-001,山梨県サンプルホール駅前店,yamanashi,山梨県,中央区,山梨県中央区1-1-1,,
sample-yamanashi-002,山梨県サンプルホール南口店,yamanashi,山梨県,南区,山梨県南区1-1-1,,
sample-yamanashi-003,山梨県グランドパーラー本店,yamanashi,山梨県,北区,山梨県北区1-1-1,,
sample-nagano-001,長野県サンプルホール駅前店,nagano,長野県,中央区,長野県中央区1-1-1,,
sample-nagano-002,長野県サンプルホール南口店,nagano,長野県,南区,長野県南区1-1-1,,
sample-nagano-003,長野県グランドパーラー本店,nagano,長野県,北区,長野県北区1-1-1,,
sample-gifu-001,岐阜県サンプルホール駅前店,gifu,岐阜県,中央区,岐阜県中央区1-1-1,,
sample-gifu-002,岐阜県サンプルホール南口店,gifu,岐阜県,南区,岐阜県南区1-1-1,,
sample-gifu-003,岐阜県グランドパーラー本店,gifu,岐阜県,北区,岐阜県北区1-1-1,,
sample-shizuoka-001,静岡県サンプルホール駅前店,shizuoka,静岡県,中央区,静岡県中央区1-1-1,,
sample-shizuoka-002,静岡県サンプルホール南口店,shizuoka,静岡県,南区,静岡県南区1-1-1,,
sample-shizuoka-003,静岡県グランドパーラー本店,shizuoka,静岡県,北区,静岡県北区1-1-1,,
sample-aichi-001,愛知県サンプルホール駅前店,aichi,愛知県,中央区,愛知県中央区1-1-1,,
sample-aichi-002,愛知県サンプルホール南口店,aichi,愛知県,南区,愛知県南区1-1-1,,
sample-aichi-003,愛知県グランドパーラー本店,aichi,愛知県,北区,愛知県北区1-1-1,,
sample-mie-001,三重県サンプルホール駅前店,mie,三重県,中央区,三重県中央区1-1-1,,
sample-mie-002,三重県サンプルホール南口店,mie,三重県,南区,三重県南区1-1-1,,
sample-mie-003,三重県グランドパーラー本店,mie,三重県,北区,三重県北区1-1-1,,
sample-shiga-001,滋賀県サンプルホール駅前店,shiga,滋賀県,中央区,滋賀県中央区1-1-1,,
sample-shiga-002,滋賀県サンプルホール南口店,shiga,滋賀県,南区,滋賀県南区1-1-1,,
sample-shiga-003,滋賀県グランドパーラー本店,shiga,滋賀県,北区,滋賀県北区1-1-1,,
sample-kyoto-001,京都府サンプルホール駅前店,kyoto,京都府,中央区,京都府中央区1-1-1,,
sample-kyoto-002,京都府サンプルホール南口店,kyoto,京都府,南区,京都府南区1-1-1,,
sample-kyoto-003,京都府グランドパーラー本店,kyoto,京都府,北区,京都府北区1-1-1,,
sample-osaka-001,大阪府サンプルホール駅前店,osaka,大阪府,中央区,大阪府中央区1-1-1,,
sample-osaka-002,大阪府サンプルホール南口店,osaka,大阪府,南区,大阪府南区1-1-1,,
sample-osaka-003,大阪府グランドパーラー本店,osaka,大阪府,北区,大阪府北区1-1-1,,
sample-hyogo-001,兵庫県サンプルホール駅前店,hyogo,兵庫県,中央区,兵庫県中央区1-1-1,,
sample-hyogo-002,兵庫県サンプルホール南口店,hyogo,兵庫県,南区,兵庫県南区1-1-1,,
sample-hyogo-003,兵庫県グランドパーラー本店,hyogo,兵庫県,北区,兵庫県北区1-1-1,,
sample-nara-001,奈良県サンプルホール駅前店,nara,奈良県,中央区,奈良県中央区1-1-1,,
sample-nara-002,奈良県サンプルホール南口店,nara,奈良県,南区,奈良県南区1-1-1,,
sample-nara-003,奈良県グランドパーラー本店,nara,奈良県,北区,奈良県北区1-1-1,,
sample-wakayama-001,和歌山県サンプルホール駅前店,wakayama,和歌山県,中央区,和歌山県中央区1-1-1,,
sample-wakayama-002,和歌山県サンプルホール南口店,wakayama,和歌山県,南区,和歌山県南区1-1-1,,
sample-wakayama-003,和歌山県グランドパーラー本店,wakayama,和歌山県,北区,和歌山県北区1-1-1,,
sample-tottori-001,鳥取県サンプルホール駅前店,tottori,鳥取県,中央区,鳥取県中央区1-1-1,,
sample-tottori-002,鳥取県サンプルホール南口店,tottori,鳥取県,南区,鳥取県南区1-1-1,,
sample-tottori-003,鳥取県グランドパーラー本店,tottori,鳥取県,北区,鳥取県北区1-1-1,,
sample-shimane-001,島根県サンプルホール駅前店,shimane,島根県,中央区,島根県中央区1-1-1,,
sample-shimane-002,島根県サンプルホール南口店,shimane,島根県,南区,島根県南区1-1-1,,
sample-shimane-003,島根県グランドパーラー本店,shimane,島根県,北区,島根県北区1-1-1,,
sample-okayama-001,岡山県サンプルホール駅前店,okayama,岡山県,中央区,岡山県中央区1-1-1,,
sample-okayama-002,岡山県サンプルホール南口店,okayama,岡山県,南区,岡山県南区1-1-1,,
sample-okayama-003,岡山県グランドパーラー本店,okayama,岡山県,北区,岡山県北区1-1-1,,
sample-hiroshima-001,広島県サンプルホール駅前店,hiroshima,広島県,中央区,広島県中央区1-1-1,,
sample-hiroshima-002,広島県サンプルホール南口店,hiroshima,広島県,南区,広島県南区1-1-1,,
sample-hiroshima-003,広島県グランドパーラー本店,hiroshima,広島県,北区,広島県北区1-1-1,,
sample-yamaguchi-001,山口県サンプルホール駅前店,yamaguchi,山口県,中央区,山口県中央区1-1-1,,
sample-yamaguchi-002,山口県サンプルホール南口店,yamaguchi,山口県,南区,山口県南区1-1-1,,
sample-yamaguchi-003,山口県グランドパーラー本店,yamaguchi,山口県,北区,山口県北区1-1-1,,
sample-tokushima-001,徳島県サンプルホール駅前店,tokushima,徳島県,中央区,徳島県中央区1-1-1,,
sample-tokushima-002,徳島県サンプルホール南口店,tokushima,徳島県,南区,徳島県南区1-1-1,,
sample-tokushima-003,徳島県グランドパーラー本店,tokushima,徳島県,北区,徳島県北区1-1-1,,
sample-kagawa-001,香川県サンプルホール駅前店,kagawa,香川県,中央区,香川県中央区1-1-1,,
sample-kagawa-002,香川県サンプルホール南口店,kagawa,香川県,南区,香川県南区1-1-1,,
sample-kagawa-003,香川県グランドパーラー本店,kagawa,香川県,北区,香川県北区1-1-1,,
sample-ehime-001,愛媛県サンプルホール駅前店,ehime,愛媛県,中央区,愛媛県中央区1-1-1,,
sample-ehime-002,愛媛県サンプルホール南口店,ehime,愛媛県,南区,愛媛県南区1-1-1,,
sample-ehime-003,愛媛県グランドパーラー本店,ehime,愛媛県,北区,愛媛県北区1-1-1,,
sample-kochi-001,高知県サンプルホール駅前店,kochi,高知県,中央区,高知県中央区1-1-1,,
sample-kochi-002,高知県サンプルホール南口店,kochi,高知県,南区,高知県南区1-1-1,,
sample-kochi-003,高知県グランドパーラー本店,kochi,高知県,北区,高知県北区1-1-1,,
sample-fukuoka-001,福岡県サンプルホール駅前店,fukuoka,福岡県,中央区,福岡県中央区1-1-1,,
sample-fukuoka-002,福岡県サンプルホール南口店,fukuoka,福岡県,南区,福岡県南区1-1-1,,
sample-fukuoka-003,福岡県グランドパーラー本店,fukuoka,福岡県,北区,福岡県北区1-1-1,,
sample-saga-001,佐賀県サンプルホール駅前店,saga,佐賀県,中央区,佐賀県中央区1-1-1,,
sample-saga-002,佐賀県サンプルホール南口店,saga,佐賀県,南区,佐賀県南区1-1-1,,
sample-saga-003,佐賀県グランドパーラー本店,saga,佐賀県,北区,佐賀県北区1-1-1,,
sample-nagasaki-001,長崎県サンプルホール駅前店,nagasaki,長崎県,中央区,長崎県中央区1-1-1,,
sample-nagasaki-002,長崎県サンプルホール南口店,nagasaki,長崎県,南区,長崎県南区1-1-1,,
sample-nagasaki-003,長崎県グランドパーラー本店,nagasaki,長崎県,北区,長崎県北区1-1-1,,
sample-kumamoto-001,熊本県サンプルホール駅前店,kumamoto,熊本県,中央区,熊本県中央区1-1-1,,
sample-kumamoto-002,熊本県サンプルホール南口店,kumamoto,熊本県,南区,熊本県南区1-1-1,,
sample-kumamoto-003,熊本県グランドパーラー本店,kumamoto,熊本県,北区,熊本県北区1-1-1,,
sample-oita-001,大分県サンプルホール駅前店,oita,大分県,中央区,大分県中央区1-1-1,,
sample-oita-002,大分県サンプルホール南口店,oita,大分県,南区,大分県南区1-1-1,,
sample-oita-003,大分県グランドパーラー本店,oita,大分県,北区,大分県北区1-1-1,,
sample-miyazaki-001,宮崎県サンプルホール駅前店,miyazaki,宮崎県,中央区,宮崎県中央区1-1-1,,
sample-miyazaki-002,宮崎県サンプルホール南口店,miyazaki,宮崎県,南区,宮崎県南区1-1-1,,
sample-miyazaki-003,宮崎県グランドパーラー本店,miyazaki,宮崎県,北区,宮崎県北区1-1-1,,
sample-kagoshima-001,鹿児島県サンプルホール駅前店,kagoshima,鹿児島県,中央区,鹿児島県中央区1-1-1,,
sample-kagoshima-002,鹿児島県サンプルホール南口店,kagoshima,鹿児島県,南区,鹿児島県南区1-1-1,,
sample-kagoshima-003,鹿児島県グランドパーラー本店,kagoshima,鹿児島県,北区,鹿児島県北区1-1-1,,
sample-okinawa-001,沖縄県サンプルホール駅前店,okinawa,沖縄県,中央区,沖縄県中央区1-1-1,,
sample-okinawa-002,沖縄県サンプルホール南口店,okinawa,沖縄県,南区,沖縄県南区1-1-1,,
sample-okinawa-003,沖縄県グランドパーラー本店,okinawa,沖縄県,北区,沖縄県北区1-1-1,,
